lambda,policy_key,base_policy,capacity,p99_latency_ms,avg_latency_ms,throughput_req_s,avg_quality
4.555555555555556e-05,sjf_c4,sjf,4,53046.213030815125,17559.72902280029,0.04133333333333333,30.7983085989183
5e-05,high_c1,high,1,2901263.948518625,1624930.2662069367,0.01911111111111111,31.279577738444008
5e-05,high_c2,high,2,1541570.4661208272,853904.9245932946,0.03844444444444445,31.27957773844401
5e-05,high_c4,high,4,88004.61306891993,57164.52355156403,0.052222222222222225,31.279577738444008
5e-05,fast_c1,fast,1,479479.7839912299,270559.7202287896,0.04533333333333334,31.30725638071696
5e-05,fast_c2,fast,2,53500.97556752308,27728.983007562245,0.05377777777777778,31.307256380716964
5e-05,fast_c4,fast,4,24525.2817570112,22123.734226397108,0.050666666666666665,31.307256380716964
5e-05,smart_c1,smart,1,709151.177951608,440941.68144547596,0.042444444444444444,31.306966552002056
5e-05,smart_c2,smart,2,199304.38663383745,143209.7013738504,0.049555555555555554,31.29136908829123
5e-05,smart_c4,smart,4,107505.11172920969,57571.73131803254,0.044,31.279577738444008
5e-05,sjf_c1,sjf,1,589295.0407420873,56929.385086079936,0.050444444444444445,30.76651927348626
5e-05,sjf_c2,sjf,2,87310.58741544366,21509.184377439276,0.04888888888888889,30.822041274619828
5e-05,sjf_c4,sjf,4,53124.36157464981,19872.463845456226,0.048,30.81113368175648
